0,77
0,2
0,22
0,2
0,1
0,1
0,217
0,1
0,343
0,237
0,139
0,7
0,1
0,2
0,225
0,71
0,153
0,1
0,2
0,2
0,22
0,1
0,1
0,202
0,71
0,1
0,86
0,1
0,1
0,12
0,1
0,2
0,1
0,29
0,2
0,1
0,1
0,1
0,22
0,4
0,2
0,4
0,1
0,2
0,1
0,2
0,7
0,4
0,1
0,2
0,2
0,4
0,1
0,2
0,2
0,2
0,2
0,1
1,71
1,2
1,22
1,22
1,1
1,2
2,1
2,1
2,2
3,271
3,1
3,1
3,2
3,2
3,67
3,517
3,117
3,1
3,1
3,123
3,71
3,50
3,2
3,71
3,1
3,2
3,1
3,1
3,2
3,1
3,2
3,2
3,1
3,19
3,1
3,22
3,2
3,22
3,2
3,1
3,2
3,2
3,1
3,2
3,1
4,1
4,2
4,1
5,1
5,1
5,1
5,2
5,1
6,2
7,138
7,2
8,1
8,2
9,104
9,19
9,1
9,1
9,1
9,2
10,2
10,1
10,22
10,92
10,1
10,2
10,1
10,9
10,2
10,2
10,1
10,2
10,1
11,2
11,22
11,19
11,2
11,2
11,1
11,3
12,153
12,2
12,2
13,659
13,2
13,48
13,1
13,19
13,12
13,2
13,1
13,6
13,2
13,1
13,22
13,3
13,2
13,22
13,73
13,71
13,2
13,19
13,2
13,2
13,2
13,2
14,2
14,1
14,2
14,1
15,153
15,1
15,9
15,2
15,1
15,2
15,6
15,2
15,1
16,12
16,257
16,149
16,2
16,2
16,1
16,7
16,2
16,2
16,7
16,1
16,1
16,2
16,1
16,12
17,1
18,6
18,9
18,2
18,21
18,122
18,19
18,1
18,1
18,2
18,4
18,2
19,29
19,373
19,19
19,2
19,112
19,1
19,19
19,6
20,2
20,1
20,2
20,1
20,2
20,2
20,2
20,1
20,2
21,1
21,6
21,2
22,333
22,1
22,108
22,4
22,229
22,50
22,1
22,6
22,2
23,2
23,7
24,7
24,22
25,2
25,1
25,2
25,2
26,693
26,2
26,2
26,2
26,12
27,1
27,73
27,2
27,1
28,22
28,2
28,717
28,24
28,218
28,1
28,1
28,2
28,2
28,1
28,2
28,2
28,1
28,104
28,55
28,1
28,1
28,1
28,122
28,21
28,22
28,1
28,78
28,1
28,2
28,2
28,2
29,2
29,1
29,1
30,1
30,2
30,2
30,2
30,2
30,1
30,22
30,1
30,1
30,1
30,1
30,1
31,2
31,125
31,2
32,139
32,1
32,2
33,86
33,20
33,2
33,1
34,1
34,2
34,1
35,2
35,6
35,2
35,1
36,1
37,1
37,257
37,354
37,1
37,2
37,2
38,319
38,4
38,2
38,2
39,138
39,222
39,7
39,1
39,1
39,1
39,1
39,1
39,22
39,1
39,1
39,9
39,2
39,1
40,12
41,2
42,71
42,1
43,225
43,2
44,2
44,2
45,2
46,659
46,1
46,2
47,730
47,205
47,1
47,112
47,2
47,138
47,1
47,1
47,2
47,1
48,543
48,1
49,2
49,354
49,2
49,1
49,1
49,1
50,1
51,1
51,2
51,1
52,554
52,2
52,1
52,1
52,6
52,55
52,22
52,2
52,19
52,1
53,2
53,2
53,21
53,225
53,29
53,22
54,2
54,2
54,1
54,1
54,1
54,1
55,527
55,1
55,1
55,506
55,517
55,2
55,1
55,398
55,193
55,2
55,1
55,1
55,1
55,2
55,1
55,1
55,2
55,1
56,2
56,2
56,3
56,1
56,1
56,69
56,7
57,2
58,149
58,6
58,1
58,1
59,21
59,1
60,133
60,1
60,2
61,1
61,19
62,2
63,278
63,1
64,1
64,2
65,2
66,21
67,513
67,2
67,193
67,1
67,2
67,1
67,1
67,1
68,2
68,1
68,108
68,198
68,1
68,52
68,2
68,1
68,1
69,2
70,21
70,41
71,225
71,1
72,2
72,407
72,10
72,2
72,20
73,2
73,6
73,2
73,1
74,1
75,19
75,1
75,1
76,2
76,1
77,2
78,2
78,19
78,1
79,2
79,525
79,1
79,368
79,1
79,339
79,1
79,1
79,29
79,19
79,2
79,1
80,22
81,29
81,2
82,1
82,2
82,1
82,2
82,2
83,2
83,2
83,55
83,1
84,2
85,1
85,2
86,1
86,1
87,104
87,1
88,29
88,22
88,1
89,1
90,22
91,1
91,2
91,210
91,71
92,1
93,6
93,1
93,2
93,19
93,1
94,2
95,2
96,338
96,1
97,2
97,2
97,1
97,23
98,2
98,205
98,243
98,1
98,2
98,2
99,50
100,1
100,1
100,41
100,1
101,664
101,4
101,1
101,53
101,86
101,2
101,12
101,115
101,21
102,6
102,138
102,1
103,1
104,1
104,431
104,2
104,1
105,1
105,2
105,12
106,1
106,86
106,2
106,1
107,2
108,295
108,2
108,2
108,2
109,663
109,2
109,110
109,61
110,1
110,2
110,2
110,6
111,149
111,2
111,1
111,69
112,1
112,2
112,1
112,2
113,52
113,1
113,1
114,450
114,4
114,12
114,1
115,2
115,1
115,2
115,1
115,29
115,1
115,2
115,114
115,91
115,14
116,24
116,249
116,1
116,1
117,2
117,2
117,1
118,2
118,7
118,103
118,2
118,21
119,1
119,1
120,1
120,11
120,1
121,582
121,2
121,2
122,2
122,68
122,1
123,425
123,1
123,1
124,2
124,1
124,1
124,2
125,354
125,1
125,1
125,19
125,1
125,1
125,1
125,1
126,63
126,193
126,55
127,184
127,2
127,18
